ObjID,RA,Dec,z,Specflag,BPTflag,MIRflag,FIRSTflag,SEDflag,S22_unWISE,E22_unWISE,S60_IRAS,E60_IRAS,S100_IRAS,E100_IRAS,S100_HATLAS,E100_HATLAS,S160_HATLAS,E160_HATLAS,S250_HATLAS,E250_HATLAS,S350_HATLAS,E350_HATLAS,S500_HATLAS,E500_HATLAS,S100_PPSC,E100_PPSC,S160_PPSC,E160_PPSC,S250_SPSC,E250_SPSC,S350_SPSC,E350_SPSC,S500_SPSC,E500_SPSC,S1.4,E1.4,logL1.4,logdL1.4,logLTIR,logLFIR,logdLTIR_upp,logdLTIR_low,qTIR,qFIR,dqTIR_upp,dqTIR_low
1237653651309002970,25.760045,13.64504,0.002856168,1.0,2.0,0.0,0.0,0.0,0.19312931318010745,6.233971107262842E-4,69.05,0.04603333333333333,111.23,0.18234426229508197,,,,,,,,,,,,,,,,,,,,,0.372777014971,0.0139329992235,21.8259198383,0.016221283556,10.5105736527,10.210260788344959,3.16090538582E-4,2.99243116848E-4,2.693594475777086,2.393281611422047,0.016717642132943134,0.016610186563319917
1237648720159965190,186.72758,-0.87755874,0.0070846486,1.0,2.0,1.0,1.0,0.0,12.744455459264739,0.001818285704875424,40.68,0.04109090909090909,32.8,0.13119999999999998,,,,,,,,,,,34.37587855500001,0.03317528931794702,,,6.7878,0.0103,2.67,0.0035,0.9741000000000001,0.0030999999,0.0408120006323,0.00128800002858,21.656605133,0.0136967559478,11.198573718,10.914858451764491,1.4520768064E-5,1.44647151804E-5,3.5509092463770884,3.2671939801415775,0.014129252997088226,0.013619445624970528
1237657628439543935,135.10573,39.064913,0.0581985,1.0,1.0,1.0,1.0,0.0,1.7039521078835163,6.728368065747109E-4,7.433,0.037165,4.588,0.148,,,,,,,,,,,,,,,0.5442,0.0032000002,0.1732,0.0030999999046325685,0.056100000000000004,0.004,0.00431500002742,4.44999983301E-4,22.5363403707,0.0447578195888,12.1011047709,11.817389515404956,1.42365538932E-4,1.38941574665E-4,3.573705061577087,3.289989806082044,0.04463657700534096,0.042158334378543216
1237661815485104153,189.14277,11.238875,0.007446035,1.0,0.0,0.0,1.0,0.0,0.214821124848724,8.165468506304127E-4,,,,,,,,,,,,,,,12.130003252,0.16166582193520734,,,9.0719,0.080199994,4.7965,0.03670000076293945,2.1925,0.0165,0.12339399755,0.00441200006753,22.1805187464,0.0155178377176,10.7435256971,10.453745412592623,0.690266148547,0.246890991075,2.5719476120770857,2.2821673275697094,0.25650693064583274,0.17753050154122008
1237661948639772687,175.24482,11.471141,0.003304078,1.0,1.0,0.0,1.0,0.0,0.15886806427649722,8.682415246139531E-4,13.61,0.054439999999999995,31.72,0.19824999999999998,,,,,,,,,,,,,,,,,,,,,0.124301999807,0.00465699983761,21.4757239457,0.0162598987358,9.83349515836,9.494472892406153,0.00126419410812,0.00127221285521,2.3667118740370867,2.0276896080832394,0.016365932709230258,0.015529736357675183
1237667447809048616,198.76464,24.618838,0.012909023,1.0,4.0,0.0,1.0,0.0,0.4083280138459477,0.0010582202336677626,17.93,0.03814893617021276,18.13,0.1133125,,,,,,,,,,,18.138214311,0.018463626251848563,,,4.1448,0.0088,1.6856,0.0050999999046325685,0.5899,0.005,0.0307620000094,0.00100699998438,22.0580938904,0.0142070734376,10.9384317121,10.676907960014715,0.00117237094032,8.39415791346E-4,2.8892784830770886,2.6277547309918035,0.014115424380268138,0.013662637288724078
1237662525766631439,186.7329831579697,15.049712624156916,0.028338,0.0,,0.0,1.0,0.0,0.02868480231212853,8.249395833557602E-4,,,,,,,,,,,,,,,,,,,,,,,0.7727999999999999,0.0039000001,0.0546710006893,0.00202999985777,22.9988936749,0.016114940776,11.7109251823,11.448495981745086,0.492342110464,0.228424704925,2.720972168777088,2.458542968222172,0.1793583452962313,0.13711574518343594
1237663916812468287,150.8311306106604,68.73327200576675,0.018313,0.0,,0.0,0.0,0.0,0.6149361854351448,6.748133382991425E-4,14.34,0.04097142857142857,22.97,0.2297,,,,,,,,,,,,,,,2.5403000000000002,0.015,1.1505999999999998,0.006599999904632568,0.5231,0.0043,0.0289629995823,0.00147699995432,22.3385167295,0.0221323063709,11.0950601445,10.828646369202993,3.7480612176E-4,3.50369877189E-4,2.765484076377085,2.499070301080078,0.02372436638483011,0.02128751731010725
1237665128549384425,200.14753,34.139328,0.023057891,1.0,1.0,1.0,1.0,0.0,1.7810742621615356,7.72075196615841E-4,,,,,,,,,,,,,,,25.246775393,0.024525976014613864,,,6.6167,0.012399999,2.4177,0.0056999998092651365,0.7417,0.0052,0.104374997318,0.00315500004217,23.0978823021,0.0131187550035,11.6328852192,11.373377188316054,1.69973952812E-4,1.46664816514E-4,2.543943578477087,2.284435547593141,0.013087324835143743,0.012825100142473733
1237664130485059614,170.07089,13.589687,0.002754746,1.0,1.0,0.0,1.0,0.0,0.0291489064737098,9.086752122042453E-4,44.1,0.040090909090909094,111.06,0.1762857142857143,,,,,,,,,,,59.944557872,0.6664116974753399,,,24.729400000000002,0.0972,11.0695,0.051299999237060544,4.476100000000001,0.0275,0.291295975447,0.00874800048769,21.6873460119,0.0130335896534,10.3065922311,10.03321538458883,0.529546934173,9.69524057113E-4,2.6281868805770863,2.354810034065917,0.17045709309769297,0.10863934966782285
1237661387602853939,206.17569,55.887106,0.03733982,1.0,2.0,1.0,1.0,0.0,2.0793080396809454,7.376192499385432E-4,21.74,0.03197058823529412,21.38,0.12576470588235295,,,,,,,,,,,22.529924728999998,0.02665346251023825,,,4.509,0.0066,1.6167,0.0039000000953674317,0.5072,0.0050999997,0.144690990448,0.00513500021771,23.6658228519,0.015402410942,12.054792315,11.79293331158018,1.12766560727E-4,1.12084596467E-4,2.397910124477086,2.1360511210572675,0.015293817949320943,0.014770466116938774
1237678602389880956,26.12721223437768,17.102409822610653,0.037882,0.0,,0.0,0.0,0.0,0.7687434683883299,7.512813286523764E-4,12.55,0.04826923076923077,13.31,0.2893478260869565,,,,,,,,,,,13.429930226000002,0.015656113672341303,,,2.7454,0.0056999996,1.0172,0.0040999999046325685,0.3271,0.005,0.0401349999011,0.00126799999271,23.1217032117,0.0137115235628,11.7127171854,11.453294541730319,3.08973810644E-4,3.04295726751E-4,2.5999546350770864,2.3405319914074028,0.014300997422076467,0.01449517431036984
1237671939260481628,227.44475,57.000146,0.0025403635,1.0,2.0,0.0,1.0,0.0,0.06865735177244076,4.64930288138903E-4,3.3,0.03,9.11,0.13597014925373133,,,,,,,,,,,,,,,,,,,,,0.0195249989629,0.00160499999765,20.4431153121,0.0356758020989,8.89976055746,8.557568486767245,0.0027508887064,0.00275472562174,2.465585906737086,2.123393836044329,0.03455148349195136,0.03519052354017882
1237658206107664445,138.81367,40.917243,0.008841419,1.0,2.0,0.0,1.0,0.0,0.2095432005052739,0.001737458797374903,8.696,0.03780869565217391,16.07,0.12361538461538461,,,,,,,,,,,,,,,,,,,,,0.0675930008292,0.00246999994852,22.0690679147,0.0158593340214,10.5837075539,10.265099847946383,0.00211900100604,0.00208479894791,2.5235803005770876,2.20497259462347,0.014657757902516,0.014732279285946337
